Company_Name,Founded,HeadQuarter,Sector,What_it_does,Investor,Amount($),Stage,Funding_Year
Beco,2018.0,Mumbai,Consumer Goods,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",Climate Angels Fund,500000.0,Seed,2021
OneCode,2020.0,Bangalore,Internet,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services","Sequoia’s Surge, Nexus Venture Partners",5000000.0,Undisclosed,2021
MedPay,2020.0,Bangalore,Information Technology,MedPay® is building the real-time claims adjudication platform for health insurers.,"Entrepreneur First (EF), GrowX Ventures",1200000.0,Seed,2021
Inshorts,2013.0,Noida,Internet,Built Inshorts with a promise to deliver news,Vy Capital,60000000.0,Undisclosed,2021
Digantara,2018.0,Bangalore,SpaceTech,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",Kalaari Capital,2500000.0,Seed,2021
Aqgromalin,2018.0,Chennai,AgriTech,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,Zephyr Peacock,700000.0,Seed,2021
Square Yards,2014.0,Gurugram,Real Estate,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,ADM Capital,25000000.0,Undisclosed,2021
OYO,2013.0,Gurugram,Hospitality,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,"SoftBank Vision Fund, Hindustan Media Venture",660000000.0,Undisclosed,2021
Ola Electric,2017.0,Bangalore,Automotive,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,Bank of Baroda,100000000.0,Debt,2021
Bikry app,2019.0,Noida,Consumer software,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",YCombinator,1300000.0,Undisclosed,2021
Oliveboard,2012.0,Bangalore,EdTech,Oliveboard is the top exam preparation platform for Banking & Government Exams.,IAN Fund,3000000.0,Undisclosed,2021
Trell,2016.0,Bangalore,Social commerce,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,"Mirae Asset, H&M",45000000.0,Series B,2021
Kredent,2008.0,Kolkata,EdTech,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,Kotak Securities,1000000.0,Undisclosed,2021
EasyAspataal,2020.0,Mumbai,HealthCare,India’s First Digital Admission Desk for Hospitalisation.,Venture Catalysts,500000.0,Seed,2021
Pankhuri,2019.0,Bangalore,Social community,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",Sequoia’s Surge,3200000.0,Undisclosed,2021
Arcana,2019.0,Bangalore,Information Technology,Arcana is the Storage Layer of Ethereum.,Balaji Srinivasan,370000.0,Seed,2021
Aquaconnect,2017.0,Chennai,Fishery,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,"Rebright Partners, Flourish Ventures",4000000.0,Pre-series A,2021
Vah Vah!,2020.0,Bangalore,EdTech,A mission to educate India and make its young and dynamic population job ready.,Sequoia Surge,1800000.0,Undisclosed,2021
LetsDressUp,2019.0,Gurugram,Apparel & Fashion,Building India's version of Stitch Fix,"Titan Capital, Sequoia Capital",300000.0,Pre-series A,2021
Sapio Analytics,2019.0,Mumbai,Computer software,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,Parthiv Group,150000.0,Undisclosed,2021
Pratilipi,2015.0,Bangalore,Online storytelling,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.","Krafton Inc, Omidyar",48000000.0,Undisclosed,2021
Ati Motors,2017.0,Bangalore,Automotive,Autonomous industrial vehicle maker,"Blume Ventures, Exfinity Venture Partners",35000000.0,Pre-series A,2021
peAR,2018.0,Mumbai,Deeptech,An AR / VR tech based Start-up in Mumbai.,Inflection Point Ventures,300000.0,Pre-series A1,2021
Gourmet Garden,2019.0,Bangalore,Farming,"100% contamination free, pesticide free naturoponically grown vegetables.","Beyond Next Ventures, M Venture Partners",3000000.0,Undisclosed,2021
The Sleep Company,2019.0,Mumbai,Consumer Goods,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,Fireside Ventures,1000000.0,Pre-series A,2021
ION Energy,2016.0,Mumbai,Automotive,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,unidisclosed,3600000.0,Pre-series A,2021
Digit Insurance,2016.0,Bangalore,Insuretech,"Digit becomes the first Unicorn of 2021, valued at $1.9B.","Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",200000000.0,Undisclosed,2021
FRAAZO,2020.0,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Sixth Sense Ventures, NABVENTURES",11000000.0,Series A,2021
Licious,2015.0,Bangalore,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Temasek, Multiples PE",192000000.0,Series F,2021
WinZO,2018.0,New Delhi,Gaming,WinZO is the largest social gaming and entertainment platform in India.,Griffin Gaming Partners,65000000.0,Series C,2021
Furlenco,2012.0,Bangalore,Consumer Goods,Furlenco is a different furniture company.,Zinnia Global,100000000.0,Undisclosed,2021
Skylark Drones,2014.0,Bangalore,Aviation,"Enterprise drone solutions that help plan, build, and sustain the world we live in.","InfoEdge Ventures, IAN Fund",3000000.0,Pre-series A,2021
TWID,2020.0,Bangalore,FinTech,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions","BEENEXT, Sequoia’s Surge",2500000.0,Undisclosed,2021
MyMobiForce,2018.0,Noida,Internet,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India",Bharat Inclusion,1400000.0,Pre-series A,2021
Pine Labs,1998.0,Noida,Information Technology,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,"Fidelity, BlackRock",600000.0,Undisclosed,2021
Genworks Health,2015.0,Bangalore,HealthCare,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,Blacksoil,2000000.0,Undisclosed,2021
Neverinstall,2019.0,Bangalore,Information Technology,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,Speciale Invest,370000.0,Seed,2021
BeatO,2015.0,New Delhi,HealthCare,ULTIMATE app to manage chronic conditions.,W Health Ventures,5000000.0,Pre-series B,2021
Earth Rhythm,2020.0,Gurugram,Cosmetics,A mission to make customers healthier and Earth a little greener.,Anicut Angel Fund,1200000.0,Seed,2021
Fountain9,2019.0,Mumbai,Computer software,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","021 Capital, Y Combinator",1900000.0,Seed,2021
Rockclimber,2019.0,Bangalore,Food & Beverages,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,Anand Prakash Sharma,1000000.0,Undisclosed,2021
SpEd@home,2020.0,Mumbai,EdTech,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",unidisclosed,300000.0,Undisclosed,2021
Green Soul,2016.0,Ambernath,Consumer Goods,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,velocity.in,200000.0,Undisclosed,2021
Shiprocket,2012.0,New Delhi,Logistics,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,"March Capital, Tribe Capital",41000000.0,Series D1,2021
DealShare,2018.0,Bangalore,Retail,The next generation disruptive (social) e-commerce product for the masses.,Tiger Global,144000000.0,Undisclosed,2021
Teachmint,2020.0,Bangalore,EdTech,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,Learn Capital,20000000.0,Pre-series B,2021
Vahak,2017.0,Bangalore,Transportation,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,RTP Global,5000000.0,Pre-series A,2021
goSTOPS,2014.0,New Delhi,Hospitality,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,"IAN, Yuj Ventures",1000000.0,Pre-series A,2021
Powerplay,2020.0,Bangalore,Construction,Powerplay helps simplify end to end Construction and Architecture project management.,"Sequoia’s Surge, Accel Partners",5200000.0,Undisclosed,2021
Delhivery,2011.0,Gurugram,Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Fidelity, GIC",270000000.0,Series H,2021
Avishkaar,2014.0,New Delhi,EdTech,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,Auxano,600000.0,Pre-series A,2021
Jobsgaar,2020.0,New Delhi,Job discovery platform,India's first District level/ Hyper Local Job discovery platform,SucSEED Indovation Fund,140000.0,Seed,2021
Breathe Well-being,2015.0,New Delhi,HealthCare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000.0,Pre-series A,2021
Good Health Clinic,2021.0,Hyderabad,HealthCare,Full Stack Digital Health Clinic,Khosla Ventures,5000000.0,Undisclosed,2021
Urban Company,2014.0,New Delhi,Home services,Urban Company is an India-based company providing a marketplace for freelance labor.,"Vy Capital, Wellington Management",250000000.0,Series F,2021
MYBYK,2014.0,Ahmadabad,Rental,MYBYK is an app that provides premium bicycle sharing and rental service.,Avon Cycles,1000000.0,Pre-series A,2021
Locus,2015.0,Bangalore,Logistics,Locus is an intelligent decision-making and automation platform for logistics.,"Blume Ventures, Exfinity Venture Partners",50000000.0,Series C,2021
Crejo.Fun,2020.0,Bangalore,EdTech,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,"Matrix Partners India, 021 Capital",3000000.0,Seed,2021
Bambinos,2020.0,Bangalore,EdTech,Cohort based extracurricular course for kids,"HNIs, Angels",500000.0,Seed,2021
KreditBee,2018.0,Bangalore,FinTech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"NewQuest Capital Partners, Motilal Oswal Private Equity",8000000.0,Undisclosed,2021
Spardha,2016.0,Pune,EdTech,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.",Inflection Point Ventures,400000.0,Pre-series A1,2021
Holisol,2009.0,New Delhi,Logistics,HoliSol Logistics Is a Supply Chain Operations Company!,"BlackSoil, CLSA Capital Partners",3000000.0,Undisclosed,2021
Now&Me,2018.0,New Delhi,HealthCare,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.","Saama, Whiteboard Capital",1000000.0,Undisclosed,2021
Fyllo,2019.0,Bangalore,AgriTech,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Indian Angel Network, Titan Capital, Lead Angels",400000.0,Seed,2021
Blaer Motors,2014.0,Chennai,Mobility,Meant to augment human power and not completely replace it,The Chennai Angels,300000.0,Undisclosed,2021
Swiflearn,2019.0,Gurugram,EdTech,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Venture Highway, Stellaris Venture Partners",3000000.0,Pre-series A,2021
QuickSell,2017.0,Mumbai,E-commerce,B2B Mobile Commerce Platform,"Sanjay Baldwa, Ajay Jain",2000000.0,Pre-series A,2021
Truemeds,2019.0,Mumbai,Heathcare,Truemeds is a health-tech startup.,InfoEdge,5000000.0,Series A,2021
Candes,2015.0,New Delhi,E-commerce,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,"Nitin Passi, Ruchirans Jaipuria",3000000.0,Undisclosed,2021
MediBuddy,2000.0,Bangalore,Heathcare,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","Stride Ventures, InnoVen Capital",3000000.0,Undisclosed,2021
F5,2018.0,New Delhi,Food & Beverages,F5 is a foods and beverages company.,"Venture Catalysts, Jeevak Gupta",300000.0,Pre-series A,2021
Capital Float,2013.0,Bangalore,FinTech,Capital Float is an online platform that provides working capital finance to SMEs in India.,"Triodos Investment Management, SAIF Partners",6000000.0,Undisclosed,2021
IntelleWings,2019.0,Panchkula,IT startup,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",unidisclosed,100000.0,Seed,2021
Shyplite,2016.0,New Delhi,Logistics,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,N+1 Capital,1000000.0,Undisclosed,2021
Refyne,2020.0,Bangalore,FinTech,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"DST Global, RTP Global",20000000.0,Series A,2021
Greenjoules,2018.0,Pune,Renewable Energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,Blue Ashva Capital,4500000.0,Series A,2021
MentorKart,2018.0,New Delhi,Consulting,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Amit Singal, Manish Aggarwal",150000.0,Seed,2021
Leverage Edu,2017.0,New Delhi,EdTech,AI-enabled marketplace designed to help students with their higher education and career growth plans,"Trifecta Capital Advisors, Blume Ventures",2000000.0,Debt,2021
Kale Logistics,2010.0,Thane,Logistics,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,Inflexor Ventures,5000000.0,Series A,2021
CustomerGlu,2016.0,Bangalore,CRM,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,"Kumar Aakash, Amit Singhal",320000.0,Undisclosed,2021
Cell Propulsion,2016.0,Bangalore,EV startup,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,growX ventures,2000000.0,Undisclosed,2021
Pee Safe,2013.0,Gurugram,HealthCare,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Shaival Desai, Alkemi Venture Partners",3000000.0,Pre-series B,2021
Chqbook,2017.0,New Delhi,FinTech,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Aavishkaar Venture Capital, YWC Venture Capital",1000000.0,Undisclosed,2021
SimpliContract,2020.0,Bangalore,Software,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.",Kalaari Capital,1800000.0,Seed,2021
Dropshop,2019.0,Bangalore,Logistics,Building technology to make distribution efficient and cheaper for large and small FMCG companies,Inflection Point Ventures,1000000.0,Pre-series A,2021
Jumbotail,2015.0,Bangalore,E-commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,Alteria Capital,4000000.0,Debt,2021
BYJU'S,2011.0,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Tiga Investments, Baron Capital",350000000.0,Undisclosed,2021
Power Gummies,2018.0,New Delhi,Nutrition,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,"Venture Catalysts, 9unicorns",1000000.0,Undisclosed,2021
Convosight,2019.0,New Delhi,SaaS startup,A mission - to help community builders become community entrepreneurs.,Qualgro,9000000.0,Series A,2021
Junio,2020.0,New Delhi,FinTech,Junio is a kids-focused digital pocket money-smart card.,"Amit Lakhotia, Pravin Jadhav",600000.0,Seed,2021
Flexmoney,2015.0,Mumbai,FinTech,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Pravega Ventures,4800000.0,Series A,2021
Fampay,2019.0,Bangalore,FinTech,India's first numberless card and UPI without a bank account,"Greenoaks Capital, Elevation Capital",38000000.0,Series A,2021
Apna,2019.0,Bangalore,Human Resources,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,"Sequoia Capital India, rocketship.vc",70000000.0,Series B,2021
XYXX Apparels,2017.0,Surat,Fashion,"XYXX Apparels,which runs an eponymous innerwear brand",unidisclosed,4000000.0,Series A,2021
BrowserStack,2011.0,Mumbai,SaaS startup,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,Accel,200000000.0,Series B,2021
Vital,2018.0,New Delhi,Insuretech,"An affordable, digital health plan built around to cover both big and small expenses",BLinC Invest,3000000.0,Pre-series A,2021
Samaaro,2020.0,Bangalore,SaaS startup,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Chaitanya Kalipatnapu, Kedar Gavane",125000.0,Undisclosed,2021
Imagimake,2011.0,Mumbai,Innovation Management,An innovative play system to help children create their imagination,"Roha Investment Managers, angel investor Saumil Shah",500000.0,Pre-series A,2021
MSMEx,2019.0,Andheri,EdTech,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"TNF Ventures, Razorpay",1000000.0,Pre-series A,2021
RenewBuy,2015.0,Gurugram,Insuretech,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Lok Capital, IIFL Asset Management",45000000.0,Series C,2021
Kutumb,2020.0,Bangalore,Community platform,Kutumb is a social community enabler.,"Tiger Global Management, DST Global",26000000.0,Series A,2021
Superplum,2019.0,Noida,AgriTech,Building India's most sophisticated platform for high quality fresh food,Marquee investors,3800000.0,Pre-series A,2021
Upside AI,2017.0,Mumbai,FinTech,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,Endiya Partners,1200000.0,Seed,2021
Skillmatics,2016.0,Mumbai,EdTech,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Sequoia Capital India,6000000.0,Series A,2021
Bimaplan,2020.0,Bangalore,Insuretech,Affordable insurance for the next billion Indians,"Roshan Abbas, Ritesh Malik",2500000.0,Pre-series A,2021
Bueno Finance,2019.0,Gurugram,FinTech,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Goat Capital, JAM Fund",3000000.0,Seed,2021
CityMall,2019.0,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"General Catalyst, Jungle Ventures",22000000.0,Series B,2021
BYJU’S,2011.0,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Blackstone Group, ADQ",50000000.0,Undisclosed,2021
India Quotient,2012.0,Mumbai,Venture capitalist,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,unidisclosed,64000000.0,Undisclosed,2021
Anvidha Technologies,2020.0,Haryana,Tech Startup,Anvidha Technologies Private Limited is a HARYANA based private ltd.,unidisclosed,1500000.0,Seed,2021
CoffeeMug.ai,2020.0,New Delhi,Networking,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Paradigm Shift Capital, AngelList India",620000.0,Pre-seed,2021
BigLeap,2015.0,Hyderabad,Recruitment,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,Anup Kumar Yama,600000.0,Undisclosed,2021
Kazam,2020.0,Bangalore,EV startup,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops",Inflection Point Ventures,900000.0,Seed,2021
BimaPe,2020.0,Mumbai,FinTech,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',"iSeed, Titan Capital",500000.0,Pre-seed,2021
Synapsica,2017.0,New Delhi,HealthCare,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"IvyCap Ventures, Endiya Partners",4000000.0,Series A,2021
Plutomen,2016.0,Ahmadabad,AR startup,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,"GUSEC Seed Fund, DeVX Venture Fund",300000.0,Undisclosed,2021
GoMechanic,2016.0,Gurugram,Automotive,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.","Tiger Global, Sequoia",42000000.0,Series C,2021
Grinntech,2013.0,Chennai,Automotive,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.",unidisclosed,2000000.0,Undisclosed,2021
Nobel Hygiene,1999.0,Mumbai,HealthCare,"Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.",Quadria Capital,60000000.0,Undisclosed,2021
Classplus,2017.0,Noida,EdTech,Classplus was born out of an urge to redefine classroom engagement in this country.,Tiger Global,65000000.0,Series C,2021
WINDO,2020.0,Hyderabad,E-commerce,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,Unicorn India Ventures,500000.0,Seed,2021
GoBolt,2015.0,Gurugram,Logistics,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.","Paragon Partners, Aavishkaar Capital",20000000.0,Series B,2021
Loco,2018.0,Bangalore,Gaming,Loco is India's leading live game streaming app.,"Krafton, Lumikai",9000000.0,Seed,2021
Auric,2017.0,New Delhi,HealthCare,Contemporary Beauty & Wellness Brand Based on Ayurveda,Venture Catalysts,2000000.0,Pre-series A,2021
Edmingle,2016.0,Bangalore,EdTech,Edmingle is a platform for all educators who want to launch their courses and sell them online.,"Indovation Fund, Mumbai Angels",300000.0,Undisclosed,2021
Slice,2016.0,Bangalore,FinTech,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards.","Gunosy, Blume Ventures",20000000.0,Undisclosed,2021
Airblack,2019.0,Gurugram,IT startup,Airblack is on a mission to help people convert their passion to a livelihood.,"Edge Ventures, Elevation Capital",5200000.0,Series A,2021
Nestroots,2016.0,Gurugram,Fashion,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",We Founder Circle,100000.0,Seed,2021
Detect Technologies,2016.0,Chennai,Automation,Detect Technologies is a leading Industrial AI company that is building innovative solutions and cutting-edge technology for the industrial ecosystem.,"Accel Partners, Elevation Capital",12000000.0,Undisclosed,2021
CredR,2015.0,Bangalore,Automotive,CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology & Processes to simplify the Used Two-wheeler Market.,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures",6500000.0,Undisclosed,2021
Fourth Partner Energy,2010.0,Hyderabad,Solar,"Fourth Partner Energy is India’s leading distributed solar energy firm focusing on building and financing solar projects across the private and public sectors for commercial, industrial and institutional entities.","Norfund, The Rise Fund",125000000.0,Undisclosed,2021
TABLT,2018.0,Kolkata,HealthCare,TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.,Siti Cable,3000000.0,Seies A,2021
Hesa,2020.0,Hyderabad,IT startup,HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.,"Venture Catalysts, 9unicorns",2000000.0,Seed,2021
Nalanda Learning,2011.0,Kolkata,EdTech,India's 1st Online Preschool with Blended Learning Model,Aavishkaar Capital,5000000.0,Undisclosed,2021
Knackit,2019.0,Bangalore,IT startup,Knackit is a talent sharing platform where users can showcase and monetize their artistry.,Jyoti Bansal,100000.0,Undisclosed,2021
Treebo Hotels,2015.0,Bangalore,Hospitality,Treebo Hotels is India's most loved hotel chain in the premium-budget segment.,Accor,16000000.0,Series D,2021
Raptee Energy,2019.0,Chennai,Automotive,Raptee Energy Inc. is looking to accelerate the transition to smart and sustainable mobility!,unidisclosed,700000.0,Undisclosed,2021
Meddo,2018.0,Gurugram,HealthCare,Meddo (Arctern Healthcare) are re-defining how primary and secondary healthcare is provided in India through a connected care delivery platform.,"SRI Capital, Picus Capital, Alkemi Capital",6000000.0,Undisclosed,2021
Supertails,2021.0,Bangalore,Pet care,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Saama Capital, DSG Consumer Partners",2600000.0,Pre-series A,2021
SkilloVilla,2020.0,Bangalore,EdTech,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,Titan Capital,300000.0,Seed,2021
Cancer Clinics,2014.0,Telugana,HealthCare,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.",Axilor,1500000.0,Pre-series A,2021
Velocity,2020.0,Bangalore,FinTech,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,Valar Ventures,1300000.0,Seed,2021
Happy Jars,2016.0,New Delhi,Food & Beverages,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.",Inflection Point Ventures,400000.0,Seed,2021
Inshorts,2013.0,Noida,Media,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,"Addition, SIG Global India Fund",40000000.0,Undisclosed,2021
ExtraaEdge,2015.0,Pune,MarTech,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,"9Unicorns Accelerator Fund, Indian Angel Network",1000000.0,Pre-series A,2021
Zotalabs,2019.0,Pune,Tech Startup,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,Alfa Ventures,1250000.0,Seed,2021
Voiro,2014.0,Bangalore,Advertisement,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,1Crowd,1800000.0,Pre-series A,2021
Dream Sports,2008.0,Mumbai,Gaming,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.","TCV, D1 Capital Partners, Falcon Edge.",400000000.0,Undisclosed,2021
Safex Chemicals,1991.0,New Delhi,AgriTech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,BanyanTree Finance Pvt. Ltd.,50000000.0,Undisclosed,2021
Rupifi,2019.0,Bangalore,FinTech,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Quona Capital,4100000.0,Pre-series A,2021
Moneyboxx,1994.0,Mumbai,FinTech,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,"Ashv Finance, BlackSoil Capital",3000000.0,Debt,2021
CityMall,2019.0,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"WaterBridge Ventures, SAIF Partners",11000000.0,Series A,2021
Janani,2020.0,Bangalore,Heathcare,Janani.ai is a fertility care provider.,"Sweta Rau, 9Unicorns Accelerator Fund",1000000.0,Seed,2021
ReshaMandi,2020.0,Bangalore,AgriTech,India's 1st award winning technology led digital ecosystem for Silk,"Omnivore, Strive Ventures",1700000.0,Seed,2021
Bombay Shaving Company,2015.0,New Delhi,Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Rajesh Sud, KULDEEP JAIN",2000000.0,Undisclosed,2021
DotPe,2019.0,Gurugram,FinTech,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"PayU, Google",27000000.0,Series A,2021
Five Star Finance,1984.0,Chennai,FinTech,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,"TPG Capital Asia, Epiq Capital",234000000.0,Undisclosed,2021
BYJU'S,2011.0,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"BlackRock, Owl Ventures",460000000.0,Series F,2021
Annapurna Finance,2009.0,Bhubaneswar,FinTech,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,"Asian Development Bank, Oman India Joint Investment Fund",30000000.0,Undisclosed,2021
HealthPlix,2014.0,Bangalore,HealthCare,HealthPlix is a healthtech startup,"JSW Ventures, Kalaari Capital",13500000.0,Series B,2021
Masai School,2019.0,Bangalore,EdTech,Masai School is a job-oriented software training services.,"Unitus Ventures, Omidyar Network India",5000000.0,Series A,2021
Bewakoof,2011.0,Mumbai,D2C Fashion,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.","IvyCap Ventures, Pratithi Investment Trust",4000000.0,Undisclosed,2021
IndiaLends,2014.0,New Delhi,FinTech,IndiaLends is a digital lending and borrowing marketplace.,"ACPI Investments, AdvantEdge Founders",5100000.0,Undisclosed,2021
